"AllocBase","TotalMB","Regions","Type","Name"
"0x015E3DF60000","29.32","1","Image","\"
"0x015E44DF0000","19","1","Mapped","\"
"0x7FF8A56D0000","18.34","13","Image","\"
"0x015E4A030000","15.78","173","Private",
"0x015E49060000","15.77","193","Private",
"0x015E470C0000","15.53","216","Private",
"0x015E460F0000","15.51","182","Private",
"0x015E48090000","15.36","208","Private",
"0x015E4B000000","8.79","77","Private",
"0x7FF964270000","8.41","6","Image","\"
"0x015E445F0000","8","77","Private",
"0x7FF965B80000","7.41","8","Image","\"
"0x7FF8E31A0000","5.41","9","Image","\"
"0x015E41EC0000","4","23","Private",
"0x7FF964F20000","3.96","9","Image","\"
"0x7FF8C34C0000","3.77","7","Image","\"
"0x7FF965730000","3.51","6","Image","\"
"0x7FF8D4580000","3.39","7","Image","\"
"0x7FF8D4CF0000","3.28","11","Image","\"
"0x7FF9679A0000","2.41","6","Image","\"
"0x7FF8D48F0000","2.29","7","Image","\"
"0x015E401B0000","2.13","1","Mapped",
"0x7FF8D6E80000","2.02","6","Image","\"
"0x015E41CC0000","2","11","Private",
"0x7FF934580000","1.85","6","Image","\"
"0x7FF9663E0000","1.77","6","Image","\"
"0x7FF8D4B40000","1.68","5","Image","\"
"0x7FF966F30000","1.59","6","Image","\"
"0x015E40020000","1.5","1","Mapped",
"0x7FF964DA0000","1.47","6","Image","\"
"0x7FF8D6D00000","1.45","5","Image","\"
"0x7FF9654E0000","1.42","6","Image","\"
"0x7FF964C50000","1.3","6","Image","\"
"0x7FF9640A0000","1.22","8","Image","\"
"0x7FF9653B0000","1.18","7","Image","\"
"0x7FF966860000","1.1","6","Image","\"
"0x015E41BB0000","1","1","Image","\"
"0x015E41AB0000","0.99","4","Private",
"0x015E3DAC0000","0.99","3","Private",
"0x7FF8D8760000","0.88","5","Image","\"
"0x7FF966720000","0.85","6","Image","\"
"0x015E3DC90000","0.82","1","Mapped","\"
"0x7FF966E60000","0.79","6","Image","\"
"0x7FF967730000","0.71","8","Image","\"
"0x7FF9457D0000","0.71","6","Image","\"
"0x7FF942DA0000","0.7","6","Image","\"
"0x7FF967590000","0.66","8","Image","\"
"0x7FF966670000","0.66","6","Image","\"
"0x7FF960D70000","0.66","6","Image","\"
"0x7FF965680000","0.65","6","Image","\"
"0x7FF964AE0000","0.64","8","Image","\"
"0x7FF92A470000","0.53","5","Image","\"
"0x7FF965320000","0.51","6","Image","\"
"0x7FF9662F0000","0.4","6","Image","\"
"0x7FF92AAD0000","0.31","5","Image","\"
"0x7FF963010000","0.29","6","Image","\"
"0x015E3FE20000","0.27","1","Mapped",
"0x7FF92ADD0000","0.21","5","Image","\"
"0x015E418B0000","0.21","1","Private",
"0x7FF966C20000","0.2","7","Image","\"
"0x7FF934C50000","0.19","5","Image","\"
"0x7FF964020000","0.17","6","Image","\"
"0x7FF966A10000","0.17","6","Image","\"
"0x7FF716CB0000","0.16","8","Image","\"
"0x015E3D980000","0.16","1","Mapped",
"0x7FF965650000","0.15","5","Image","\"
"0x7FF9375E0000","0.13","6","Image","\"
"0x7FF92A450000","0.12","5","Image","\"
"0x7FF93FAB0000","0.1","5","Image","\"
"0x015E3DDA0000","0.09","6","Image","\"
"0x7FF934BF0000","0.08","7","Image","\"
"0x7FF963830000","0.08","6","Image","\"
"0x015E3DA90000","0.07","1","Mapped","\"
"0x015E3DF20000","0.07","1","Mapped","\"
"0x015E3D9F0000","0.07","1","Mapped","\"
"0x015E3D9D0000","0.07","1","Mapped","\"
"0x015E3DA70000","0.07","1","Mapped","\"
"0x7FF9451C0000","0.06","5","Image","\"
"0x015E3D970000","0.06","1","Mapped",
"0x015E41AA0000","0.06","1","Private",
"0x7FF960D00000","0.05","6","Image","\"
"0x015E3DF00000","0.05","1","Image","\"
"0x7FF954310000","0.05","6","Image","\"
"0x7FF9637B0000","0.05","5","Image","\"
"0x7FF9308A0000","0.04","5","Image","\"
"0x015E3DA20000","0.04","1","Mapped",
"0x005A8C800000","0.04","1","Private",
"0x015E3DA30000","0.04","1","Mapped",
"0x005A8CA00000","0.04","2","Private",
"0x7FF944F30000","0.03","5","Image","\"
"0x015E418A0000","0.03","1","Private",
"0x015E3FE10000","0.03","1","Private",
"0x015E3DF10000","0.03","1","Mapped","\"
"0x015E3DBC0000","0.02","1","Private",
"0x005A8CB00000","0.02","2","Private",
"0x005A8CD00000","0.02","2","Private",
"0x015E3DEE0000","0.02","1","Mapped",
"0x005A8CC00000","0.02","2","Private",
"0x7FF4BC530000","0.02","1","Mapped",
"0x015E3D9B0000","0.02","1","Mapped",
"0x015E3DA50000","0.02","1","Mapped",
"0x015E3DA60000","0.01","1","Mapped","\"
