"t_ms","private_mb","working_mb"
"221","7.5","23.3"
"454","9.6","25.9"
"677","10.3","26.5"
"896","10.3","26.5"
"1118","10.3","26.5"
"1333","10.8","27.6"
"1560","10.8","27.6"
"1777","10.8","27.6"
"1993","10.8","27.6"
"2218","11.2","28"
"2438","11.9","28.6"
"2666","12.3","29"
"2886","12.5","29.3"
"3108","12.8","29.5"
"3325","12.8","29.5"
"3540","13","29.7"
"3760","13","29.7"
"3971","13.2","29.9"
"4181","12.3","28.4"
"4390","13.2","29.2"
"4611","13.2","29.2"
"4824","13.2","29.2"
"5046","13.2","29.2"
"5262","13.2","29.2"
"5476","13.2","29.2"
"5698","12.9","29.5"
"5921","12.9","29.5"
"6140","12.9","29.5"
"6359","12.9","29.5"
"6578","12.9","29.5"
"6800","13.8","29.8"
"7017","13.8","30.3"
"7240","14.6","30.6"
"7461","14.6","30.9"
"7669","14.6","31.1"
"7889","14.8","31.4"
"8103","14.9","31.5"
"8324","15.1","31.7"
"8543","15.3","31.9"
"8761","15.3","31.9"
"8980","15.4","31.2"
"9200","15.4","31.2"
"9417","15.4","31.2"
"9625","15.4","31.2"
"9848","15.4","31.2"
"10069","14.6","31.3"
"10289","14.6","31.3"
"10503","14.6","31.3"
"10718","14.6","31.3"
"10928","15.3","31.9"
"11146","15.8","32.3"
"11365","16.2","32.7"
"11577","16.4","32.9"
"11794","16.8","33.2"
"12015","16.9","33.4"
"12234","17","33.5"
"12454","17.2","33.7"
"12666","17.2","33.7"
"12884","17.3","33"
"13103","17.3","33"
"13322","17.3","33"
"13534","17.3","33"
"13752","16.7","33.3"
"13969","16.7","33.3"
"14184","16.7","33.3"
"14400","16.7","33.3"
"14621","17.1","33.7"
"14841","17.6","34.2"
"15059","18","34.6"
"15284","18.3","34.9"
"15499","18.5","35.1"
"15709","18.6","35.2"
"15927","18.8","35.3"
"16147","19","35.5"
"16369","18.6","34.5"
"16589","19.1","34.8"
"16808","19.1","34.8"
"17025","19.1","34.8"
"17245","19","34.8"
"17459","18.6","35.1"
"17676","18.6","35.1"
"17893","18.6","35.1"
"18110","18.6","35.1"
"18329","19.5","35.4"
"18550","19.5","35.9"
"18774","20.3","36.2"
"18984","20.3","36.5"
"19203","20.3","36.7"
"19423","20.5","36.9"
"19642","20.6","37.1"
"19859","20.6","37.1"
"20074","20.8","37.3"
"20294","20.2","36.3"
"20516","21","36.7"
"20726","21","36.7"
"20942","21","36.7"
"21162","21","36.7"
"21380","20.5","36.9"
"21590","20.5","36.9"
"21805","20.5","36.9"
"22022","20.5","36.9"
"22238","21.5","37.4"
"22456","21.5","37.8"
"22679","22.2","38.2"
"22896","22.2","38.4"
"23115","22.4","38.7"
"23336","22.5","38.9"
"23557","22.7","39.1"
"23770","22.7","39.1"
"23988","22.9","39.2"
"24208","23.1","38.5"
"24428","23","38.5"
"24644","23","38.5"
"24864","23","38.5"
"25076","23","38.5"
"25283","22.5","38.9"
"25503","22.5","38.9"
"25722","22.5","38.9"
"25939","23.5","39.7"
"26154","24.3","40.1"
"26374","24.3","40.5"
"26585","24.5","40.9"
"26794","24.5","40.9"
"27011","24.2","40.1"
"27222","24.9","40.4"
"27453","24.9","40.4"
"27664","24.9","40.4"
"27877","24.8","41.1"
"28096","24.8","41.1"
"28310","24.8","41.1"
"28519","25.3","41.6"
"28734","25.9","42.1"
"28957","26.1","42.4"
"29166","26.3","42.5"
"29374","26.4","42.6"
"29594","26.6","42.8"
"29810","26.9","42.2"
"30028","26.8","42.2"
"30235","26.7","42.2"
"30453","26.1","42.5"
"30678","26.1","42.5"
"30899","26.1","42.5"
"31107","26.7","43"
"31313","27.4","43.6"
"31534","27.8","44"
"31755","28.1","44.3"
"31963","28.3","44.5"
"32181","28.4","44.6"
"32399","28.7","44.8"
"32617","28.7","44.1"
"32837","28.7","44.1"
"33044","28.7","44.1"
"33252","29.2","45.4"
"33474","29.2","45.4"
"33694","29.2","45.4"
"33904","29.2","45.4"
"34122","29.3","45.4"
"34342","29.7","45.8"
"34548","30","46.2"
"34769","30.2","46.4"
"34979","30.2","46.4"
"35189","30.5","46.6"
"35412","30.5","45.9"
"35633","30.5","45.9"
"35842","30.5","45.9"
"36060","31","47.2"
"36279","31","47.2"
"36497","31","47.2"
"36713","31","47.2"
"36923","31.3","47.3"
"37148","31.7","47.7"
"37367","31.9","48"
"37575","32.1","48.2"
"37794","32.3","48.4"
"38011","31.5","47.2"
"38229","32.4","47.7"
"38446","32.3","47.7"
"38666","32.3","47.7"
"38885","32.9","49"
"39101","32.9","49"
"39318","32.9","49"
"39539","32.9","49"
"39745","32.9","49"
"39954","33.5","49.4"
"40164","33.6","49.7"
"40380","33.8","49.9"
"40598","34","50"
"40806","34.2","50.3"
"41015","33.6","49.3"
"41237","34.3","49.5"
"41457","34.2","49.5"
"41674","34.2","49.5"
"41890","34.6","50.7"
"42112","34.6","50.7"
"42330","34.6","50.7"
"42548","34.7","50.7"
"42773","35.3","51.3"
"42979","35.5","51.5"
"43187","35.8","51.9"
"43406","36","51.9"
"43613","36.2","52.1"
"43820","36.4","51.5"
"44041","36.4","51.5"
"44261","36.4","51.5"
"44480","37.3","53.3"
"44690","37.3","53.3"
"44911","37.3","53.3"
"45119","37.3","53.3"
"45328","37.3","53.2"
"45548","37.3","53.2"
"45757","37.4","53.3"
"45965","37.7","53.7"
"46179","37.8","53.8"
"46399","38.1","54"
"46618","37.7","53.1"
"46835","38.3","53.3"
"47053","38.3","53.3"
"47264","38.3","53.3"
"47470","38.8","54.8"
"47689","38.8","54.8"
"47909","38.8","54.8"
